id,exercise_name,video_link,video_explanation,expereince_level,target_muscle,primary_muscle,secondary_muscle,category,laterality,exercise_classification,inserted_at,equipment
6988,Single Arm Dumbbell Squat Snatch,https://youtu.be/etK3OPjM3S4,https://youtu.be/PlTCUyVcY0E,Intermediate,Quadriceps,Quadriceps Femoris,Quadriceps Femoris,Full Body,Unilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Dumbbell
6989,Alternating Single Arm Dumbbell Squat Snatch,https://youtu.be/T0_a2xijJBE,,Intermediate,Quadriceps,Quadriceps Femoris,Quadriceps Femoris,Full Body,Unilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Dumbbell
6990,Single Arm Cable Single Leg Romanian Deadlift,https://youtu.be/OC_7QIo0uk4,,Intermediate,Hamstrings,Biceps Femoris,Gluteus Maximus,Lower Body,Unilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Cable
6991,Double Kettlebell Suitcase Cyclist Squat,https://youtu.be/6caQpfXMvyw?si=WY0XcdcIUuE20g-o,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Lower Body,Bilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Kettlebell
6992,Single Arm Kettlebell Suitcase Cyclist Squat,https://youtu.be/AlxuA22ymwg?si=-tgz7djxN0QKxXfA,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Lower Body,Unilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Kettlebell
6993,Double Kettlebell Front Rack Step Up,https://youtu.be/wcnuhd6RHwE,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Lower Body,Unilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Kettlebell
6994,Double Kettlebell Incline Bench Prone Row,https://youtu.be/jHpBzpxK16c?si=3sB9wGkke_B632ad,https://youtu.be/awJJqNd0-9s?si=OSIE0z3se9Z4vj_4,Novice,Back,Latissimus Dorsi,,Upper Body,Bilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Kettlebell
6995,Single Arm Dumbbell Incline Bench Prone Row,https://youtu.be/4Bv94e_ufjo?si=8V5SPIIuNai7zUm3,,Novice,Back,Latissimus Dorsi,,Upper Body,Unilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Dumbbell
6996,Single Arm Dumbbell Spider Curl,https://youtu.be/Ew2ZzKqICfA?si=Irq2jLSDxKiagY3F,,Novice,Biceps,Biceps Brachii,Brachialis,Upper Body,Unilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Dumbbell
6997,Double Kettlebell Spider Curl,,https://youtu.be/L6XHpSFmVjA?si=BYKjvx0FJ8AIiQ7W,Novice,Biceps,Biceps Brachii,Brachialis,Upper Body,Bilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Kettlebell
6998,Double Kettlebell Bottoms Up Incline Bench Press,https://youtu.be/STeIzkHm6tE?si=BxEJOKh_KtwNSMK_,,Novice,Chest,Pectoralis Major,Triceps Brachii,Upper Body,Bilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Kettlebell
6999,Double Dumbbell Seated Good Morning,https://youtu.be/x5nnk8hUBo4,https://youtu.be/7NMbAV4KPpo,Novice,Back,Erector Spinae,Gluteus Maximus,Lower Body,Bilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Dumbbell
7000,Bodyweight Hip Thrust,https://youtu.be/OAhvIWLC0rc,,Beginner,Glutes,Gluteus Maximus,Biceps Femoris,Lower Body,Bilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Bodyweight
7001,Double Kettlebell Front Rack Box Pistol Squat,,https://youtu.be/mnQtaFcGtv4,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Lower Body,Unilateral,Balance,2025-08-10 01:02:43.832216+00,Kettlebell
7002,Alternating Double Kettlebell Bottoms Up Incline Bench Press,,,Novice,Chest,Pectoralis Major,Triceps Brachii,Upper Body,Unilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Kettlebell
7003,Single Arm Kettlebell Bottoms Up Incline Bench Press,https://youtu.be/SoVCwno_9z8?si=BCvfBOVPW_aHbvZ_,,Novice,Chest,Pectoralis Major,Triceps Brachii,Upper Body,Unilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Kettlebell
7004,Alternating Double Kettlebell Incline Bench Prone Row,https://youtu.be/rAoi4_AI7VA?si=b6KXmXEYoxIPmTt2,,Novice,Back,Latissimus Dorsi,,Upper Body,Unilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Kettlebell
7005,Single Arm Kettlebell Incline Bench Prone Row,https://youtu.be/gPX8OmnYmQY?si=UgQnJkh9n3OobTcZ,,Novice,Back,Latissimus Dorsi,,Upper Body,Unilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Kettlebell
7006,Ring Side Plank Reach Through,,,Expert,Abdominals,Obliques,Rectus Abdominis,Core,Unilateral,Calisthenics,2025-08-10 01:02:43.832216+00,Gymnastic Rings
7007,Single Arm Dumbbell Overhead Contralateral Bulgarian Split Squat,https://youtu.be/z7rygloAW30?si=p4kPPZcAKammq1Vv,https://youtu.be/pEOli_ZdcBs?si=qgD2rL4Mv8km66VS,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Lower Body,Contralateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Dumbbell
7008,Single Arm Dumbbell Overhead Contralateral Knee Over Toe Split Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Lower Body,Contralateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Dumbbell
7009,Double Kettlebell Suitcase Step Up,https://youtu.be/3HUEab31fks?si=B2OmGKfwSuXhts1z,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Lower Body,Unilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Kettlebell
7010,Single Arm Kettlebell Suitcase Contralateral Step Up,https://youtu.be/lMADALbx1eM?si=wJjWrYeLHPKqVgHh,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Lower Body,Contralateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Kettlebell
7011,Single Arm Kettlebell Suitcase Ipsilateral Step Up,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Lower Body,Ipsilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Kettlebell
7012,Single Arm Kettlebell Front Rack Contralateral Step Up,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Lower Body,Contralateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Kettlebell
7013,Single Arm Kettlebell Front Rack Ipsilateral Step Up,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Lower Body,Ipsilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Kettlebell
7014,Double Kettlebell Overhead Step Up,https://youtu.be/eKUmMljLcKw?si=ocsvBon7ivrRziM6,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Lower Body,Unilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Kettlebell
7015,Single Arm Kettlebell Overhead Contralateral Step Up,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Lower Body,Contralateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Kettlebell
7016,Single Arm Kettlebell Overhead Ipsilateral Step Up,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Lower Body,Ipsilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Kettlebell
7017,Double Kettlebell Bottoms Up Front Rack Step Up,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Lower Body,Unilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Kettlebell
7018,Single Arm Kettlebell Bottoms Up Front Rack Contralateral Step Up,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Lower Body,Contralateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Kettlebell
7019,Single Arm Kettlebell Bottoms Up Front Rack Ipsilateral Step Up,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Lower Body,Ipsilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Kettlebell
7020,Double Kettlebell Bottoms Up Overhead Step Up,,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Lower Body,Unilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Kettlebell
7021,Single Arm Kettlebell Bottoms Up Overhead Contralateral Step Up,,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Lower Body,Contralateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Kettlebell
7022,Single Arm Kettlebell Bottoms Up Overhead Ipsilateral Step Up,,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Lower Body,Ipsilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Kettlebell
7023,Kettlebell Half Kneeling Low to High Chop,https://youtu.be/wPXdGwc0NTs,https://youtu.be/exMSeCF3DJg,Intermediate,Abdominals,Obliques,Rectus Abdominis,Core,Unilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Kettlebell
7024,Single Arm Kettlebell Windmill,https://youtu.be/3rtUK_jUv4s,https://youtu.be/VFHj4FehsfM,Intermediate,Abdominals,Obliques,Rectus Abdominis,Core,Unilateral,Grinds,2025-08-10 01:02:43.832216+00,Kettlebell
7025,Kettlebell Russian Twist,https://youtu.be/59_aq7COfts,https://youtu.be/SigTyTv0TQQ,Novice,Abdominals,Obliques,Rectus Abdominis,Core,Bilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Kettlebell
7026,Alternating Single Arm Kettlebell Plank Pull Through,https://youtu.be/fKbu_2L94x8,https://youtu.be/setqoQC3HAU,Intermediate,Abdominals,Rectus Abdominis,Obliques,Core,Unilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Kettlebell
7027,Single Arm Kettlebell Single Leg Standing Bent Knee Around The World,,https://youtu.be/ve60gzLLyzA,Intermediate,Abdominals,Rectus Abdominis,,Core,Unilateral,Balance,2025-08-10 01:02:43.832216+00,Kettlebell
7028,Single Arm Kettlebell Swing,https://youtu.be/kneGICiz30g,https://youtu.be/BXrXhyudA80,Novice,Glutes,Gluteus Maximus,Biceps Femoris,Full Body,Unilateral,Ballistics,2025-08-10 01:02:43.832216+00,Kettlebell
7029,Double Kettlebell Suitcase Feet Elevated Calf Raise,,https://youtu.be/qkK_V6hpQ80?si=HkiTuj2F0YsYYRFZ,Novice,Calves,Gastrocnemius,Soleus,Lower Body,Bilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Kettlebell
7030,Single Arm Kettlebell Spider Curl,,,Novice,Biceps,Biceps Brachii,Brachialis,Upper Body,Unilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Kettlebell
7031,Double Kettlebell Bottoms Up Bench Press,https://youtu.be/bIzD1Z_C0cA,,Novice,Chest,Pectoralis Major,Triceps Brachii,Upper Body,Bilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Kettlebell
7032,Single Arm Kettlebell Suitcase Deadlift,https://youtu.be/1hcAoywwuRI,https://youtu.be/d6i6MwVOmk0?si=ecPMnAcU-eh4ENBj,Novice,Back,Latissimus Dorsi,Obliques,Full Body,Unilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Kettlebell
7033,Single Arm Kettlebell Clean,https://youtu.be/TQT7hBXVcOo,https://youtu.be/lYh7Kf_lEMY,Intermediate,Glutes,Gluteus Maximus,,Full Body,Unilateral,Ballistics,2025-08-10 01:02:43.832216+00,Kettlebell
7034,Single Arm Kettlebell Clean to Overhead Press,https://youtu.be/JtlYyc5MaAc,https://youtu.be/48qvCvJJr8Y,Intermediate,Shoulders,Anterior Deltoids,Gluteus Maximus,Full Body,Unilateral,Ballistics,2025-08-10 01:02:43.832216+00,Kettlebell
7035,Alternating Single Arm Dumbbell Pendlay Row,https://youtu.be/7zKQ79awAvY?feature=shared,,Novice,Back,Latissimus Dorsi,Biceps Brachii,Upper Body,Unilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Dumbbell
7036,Alternating Double Kettlebell Bottoms Up Bench Press,,,Novice,Chest,Pectoralis Major,Triceps Brachii,Upper Body,Unilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Kettlebell
7037,Single Arm Kettlebell Snatch,https://youtu.be/VdNC_xicfyg,https://youtu.be/OO7y9cIz0lU,Intermediate,Shoulders,Anterior Deltoids,Gluteus Maximus,Full Body,Unilateral,Ballistics,2025-08-10 01:02:43.832216+00,Kettlebell
7038,Kettlebell Sumo Deadlift,https://youtu.be/odS65TnXgU0?si=l3QM9Nb4wHNt_JgK,https://youtu.be/yWqIE3v7Rq0?si=4_0xj-bhEgm8WUtF,Beginner,Back,Latissimus Dorsi,Gluteus Maximus,Full Body,Bilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Kettlebell
7039,Single Arm Kettlebell Turkish Get Up,https://youtu.be/sgd8n917Zv0,https://youtu.be/Gvc3_o9R6hc,Intermediate,Abdominals,Obliques,Rectus Abdominis,Full Body,Unilateral,Grinds,2025-08-10 01:02:43.832216+00,Kettlebell
7040,Kettlebell Goblet Squat,https://youtu.be/f-Vf2yRRqOg,https://youtu.be/fnuHKfySEsU,Beginner,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Lower Body,Bilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Kettlebell
7041,Single Arm Kettlebell Overhead Squat,https://youtu.be/nrfDq0DUhrE,https://youtu.be/pUo1r5kCkhU,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Lower Body,Unilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Kettlebell
7042,Double Kettlebell Front Rack Alternating Cossack Squat,https://youtu.be/vcMZNgn5G9c,,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Lower Body,Unilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Kettlebell
7043,Single Arm Kettlebell Bottoms Up Bench Press,https://youtu.be/NIytPzrQ460?si=hBsVxzSTE6ddOTCD,https://youtu.be/XqVjldCjnXM?si=TrEPboJXiVhVKoXL,Novice,Chest,Pectoralis Major,Triceps Brachii,Upper Body,Unilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Kettlebell
7044,Single Arm Kettlebell Turkish Sit Up,https://youtu.be/KpufjJRtyPc,,Intermediate,Abdominals,Rectus Abdominis,Anterior Deltoids,Core,Unilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Kettlebell
7045,Double Kettlebell Turkish Sit Up,https://youtu.be/RttCwCerCiM,,Intermediate,Abdominals,Rectus Abdominis,Anterior Deltoids,Core,Bilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Kettlebell
7046,Double Kettlebell Turkish Sit Up to Z Press,https://youtu.be/UcLpNnWX8vE,,Intermediate,Abdominals,Rectus Abdominis,Anterior Deltoids,Full Body,Bilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Kettlebell
7047,Double Kettlebell Bottoms Up Front Rack Alternating Cossack Squat,https://youtu.be/aJGPHYsiyTM,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Lower Body,Unilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Kettlebell
7048,Double Kettlebell Swing,https://youtu.be/fOPqk1FA4HU,https://youtu.be/P5IFTJySA_s?si=KoI-ApDuiE4q4OJQ,Intermediate,Glutes,Gluteus Maximus,Biceps Femoris,Full Body,Bilateral,Ballistics,2025-08-10 01:02:43.832216+00,Kettlebell
7049,Double Kettlebell Front Rack Squat,https://youtu.be/JoT4bHnzTMw?si=i8z5wbuObKGVIl4_,https://youtu.be/wRmiqpizfNM,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Lower Body,Bilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Kettlebell
7050,Single Arm Kettlebell Front Rack Squat,https://youtu.be/Wqg4NY5XAkU,https://youtu.be/qZdY8HtHFsc?si=RiJaG2F9J7CzKtcu,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Lower Body,Unilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Kettlebell
7051,Single Arm Kettlebell Front Rack Contralateral Split Squat,https://youtu.be/-Z8NXAi59SE,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Lower Body,Contralateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Kettlebell
7052,Single Arm Kettlebell Front Rack Carry,https://youtu.be/M39871Puz6c,https://youtu.be/QFF8xD4BVZw,Novice,Abdominals,Rectus Abdominis,,Full Body,Unilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Kettlebell
7053,Double Kettlebell Bottoms Up Overhead Alternating Cossack Squat,,,Advanced,Quadriceps,Quadriceps Femoris,Adductor Magnus,Lower Body,Unilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Kettlebell
7054,Single Arm Kettlebell Squat Clean,https://youtu.be/FZ8mMUwnCQs,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Full Body,Unilateral,Ballistics,2025-08-10 01:02:43.832216+00,Kettlebell
7055,Double Kettlebell Prone Row,https://youtu.be/hUG_dolsaPE?si=_fw03cFT8VfLVtzo,,Novice,Back,Latissimus Dorsi,,Upper Body,Bilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Kettlebell
7056,Single Arm Kettlebell Bottoms Up Front Rack Carry,https://youtu.be/0i2Aa8gV-VY?si=Z7AGqRY1Hod9Fwti,https://youtu.be/ruS-NNxgvCU,Intermediate,Abdominals,Rectus Abdominis,,Full Body,Unilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Kettlebell
7057,Double Kettlebell Bottoms Up Front Rack Carry,https://youtu.be/F19T2zGlPGA,,Intermediate,Abdominals,Rectus Abdominis,,Full Body,Bilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Kettlebell
7058,Double Kettlebell Bottoms Up Overhead Walking Lunge,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Lower Body,Unilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Kettlebell
7059,Single Arm Kettlebell Bottoms Up Front Rack Walking Lunge,https://youtu.be/FvSL8slKKHY,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Lower Body,Unilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Kettlebell
7060,Alternating Double Kettlebell Prone Row,https://youtu.be/OD7URB1yHAo?si=UX_3VmEfO_WpeiuT,,Novice,Back,Latissimus Dorsi,,Upper Body,Unilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Kettlebell
7061,Double Kettlebell Single Leg Romanian Deadlift,https://youtu.be/JkKxFADvLvk,,Intermediate,Hamstrings,Biceps Femoris,Gluteus Maximus,Lower Body,Unilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Kettlebell
7062,Double Kettlebell Romanian Deadlift,https://youtu.be/Xa8hHIwOHe4,,Beginner,Hamstrings,Biceps Femoris,Gluteus Maximus,Lower Body,Bilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Kettlebell
7063,Single Arm Kettlebell Contralateral Single Leg Romanian Deadlift,https://youtu.be/9u_Fccgk9Ys,https://youtu.be/Zfr6wizR8rs,Intermediate,Hamstrings,Biceps Femoris,Gluteus Maximus,Lower Body,Contralateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Kettlebell
7064,Single Arm Kettlebell Bottoms Up Overhead Squat,https://youtu.be/j0aAMnMp0yU,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Lower Body,Unilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Kettlebell
7065,Single Arm Kettlebell Prone Row,https://youtu.be/QSbH7gNkBtc?si=ngxTS90XoTuvQDxs,,Novice,Back,Latissimus Dorsi,,Upper Body,Unilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Kettlebell
7066,Parallette Tuck Planche,https://youtu.be/3WVToPNWjVk,https://youtu.be/xw31tXau_4Q,Advanced,Abdominals,Rectus Abdominis,Biceps Brachii,Full Body,Bilateral,Calisthenics,2025-08-10 01:02:43.832216+00,Parallette Bars
7067,Macebell Offset Bicep Curl,https://youtu.be/xkyQtEH8fxM?si=Zh1mTKcYEFs382Sk,https://youtu.be/gdxekHuSe_A?si=TGhgI374D-OSzyyz,Novice,Biceps,Biceps Brachii,Brachialis,Upper Body,Bilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Macebell
7068,Double Kettlebell Bottoms Up Decline Bench Press,,,Novice,Chest,Pectoralis Major,Triceps Brachii,Upper Body,Bilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Kettlebell
7069,Parallette L Sit to Tuck Planche,https://youtu.be/NUvTsZxo5nk,,Expert,Abdominals,Rectus Abdominis,,Core,Bilateral,Calisthenics,2025-08-10 01:02:43.832216+00,Parallette Bars
7070,Alternating Double Kettlebell Bottoms Up Decline Bench Press,,,Novice,Chest,Pectoralis Major,Triceps Brachii,Upper Body,Unilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Kettlebell
7071,Landmine Standing Oblique Twist,https://youtu.be/4dGj7rES9pY,https://youtu.be/TynRdGZTtE0,Intermediate,Abdominals,Obliques,,Core,Bilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Landmine
7072,Cable Rope Tall Kneeling High to Low Chop,https://youtu.be/h-af-afj-Xg,,Intermediate,Abdominals,Obliques,Rectus Abdominis,Core,Bilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Cable
7073,Single Arm Parallette Plank,https://youtu.be/NrkFLTzLuSM,,Intermediate,Abdominals,Rectus Abdominis,,Core,Unilateral,Calisthenics,2025-08-10 01:02:43.832216+00,Parallette Bars
7074,Single Arm Suspension Plank,https://youtu.be/hetklTC7y4M?si=gHU6ufU8oAcg21Jv,,Intermediate,Abdominals,Rectus Abdominis,,Core,Unilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Suspension Trainer
7075,Battle Rope Russian Twist,https://youtu.be/_-kclLM0Mak,,Novice,Abdominals,Obliques,Rectus Abdominis,Core,Bilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Battle Ropes
7076,Bodyweight Bird Dog Knee to Elbow,https://youtu.be/1v4_Vsvk3gc,,Beginner,Abdominals,Rectus Abdominis,Obliques,Core,Contralateral,Unsorted*,2025-08-10 01:02:43.832216+00,Bodyweight
7077,Slam Ball Feet Elevated Russian Twist,https://youtu.be/W1FXse115qs,,Intermediate,Abdominals,Obliques,Rectus Abdominis,Core,Bilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Slam Ball
7078,Medicine Ball Feet Elevated Russian Twist,https://youtu.be/IdEocZzdUNY,,Novice,Abdominals,Obliques,Rectus Abdominis,Core,Bilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Medicine Ball
7079,Alternating Double Dumbbell Prone Row,https://youtu.be/Ry9HwpfUbd8?si=oY89SBibCyKMJ7CT,,Novice,Back,Latissimus Dorsi,,Upper Body,Unilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Dumbbell
7080,Bodyweight Forearm Plank Alternating Knee to Elbow,https://youtu.be/A_JgZzr6o-k,,Intermediate,Abdominals,Rectus Abdominis,,Core,Unilateral,Calisthenics,2025-08-10 01:02:43.832216+00,Bodyweight
7081,Bodyweight Loaded Beast to Alternating Kick Through,https://youtu.be/lhh2tGD_47g,,Intermediate,Abdominals,Rectus Abdominis,,Core,Unilateral,Animal Flow,2025-08-10 01:02:43.832216+00,Bodyweight
7082,Single Arm Dumbbell Prone Row,https://youtu.be/-fuxiCQvMxQ?si=lCRmzsfrTeNaP0Gk,,Novice,Back,Latissimus Dorsi,,Upper Body,Unilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Dumbbell
7083,Double Kettlebell Clean,https://youtu.be/8tFmEJ9ElaM,https://youtu.be/26GZTfSdz-s,Intermediate,Glutes,Gluteus Maximus,,Full Body,Bilateral,Ballistics,2025-08-10 01:02:43.832216+00,Kettlebell
7084,Double Kettlebell Snatch,https://youtu.be/5WNcWPHXRZ0,https://youtu.be/73koR_IuoDE,Intermediate,Glutes,Gluteus Maximus,Anterior Deltoids,Full Body,Bilateral,Ballistics,2025-08-10 01:02:43.832216+00,Kettlebell
7085,Battle Rope Feet Elevated Russian Twist,https://youtu.be/XdKaa2lHuic,,Intermediate,Abdominals,Obliques,Rectus Abdominis,Core,Bilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Battle Ropes
7086,Superband Dead Bug,https://youtu.be/wCwn7-Z-XjE,https://youtu.be/X0s5xY8JZVA,Novice,Abdominals,Rectus Abdominis,Obliques,Core,Unilateral,Postural,2025-08-10 01:02:43.832216+00,Superband
7087,Parallette V Sit,https://youtu.be/oBmFzeay6Z8?si=dliVO8cgoAWNKwT3,https://youtu.be/x-kdghat2Fk,Expert,Abdominals,Rectus Abdominis,,Core,Bilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Parallette Bars
7088,Single Arm Dumbbell Pendlay Row,,,Novice,Back,Latissimus Dorsi,Biceps Brachii,Upper Body,Unilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Dumbbell
7089,Single Arm Kettlebell Bottoms Up Decline Bench Press,,,Novice,Chest,Pectoralis Major,Triceps Brachii,Upper Body,Unilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Kettlebell
7090,Double Kettlebell Split Jerk,https://youtu.be/6sbNXcg-R0Y,,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,Full Body,Unilateral,Unsorted*,2025-08-10 01:02:44.550093+00,Kettlebell
7091,Double Kettlebell High Pull,https://youtu.be/zfWpy9oMOqc?si=8gZawgsKgTeeGHck&utm_source=MTQxZ,https://youtu.be/HG1HnSeeSdI?si=d2nqUbvNltb8xPPo&utm_source=MTQxZ,Intermediate,Shoulders,Posterior Deltoids,,Full Body,Bilateral,Ballistics,2025-08-10 01:02:44.550093+00,Kettlebell
7092,Superband Pallof Press,https://youtu.be/TvPRtxN8uoA,,Beginner,Abdominals,Obliques,Rectus Abdominis,Core,Bilateral,Unsorted*,2025-08-10 01:02:44.550093+00,Superband
7093,Superband Half Kneeling Pallof Press,https://youtu.be/V-SoYj9uQV8,https://youtu.be/CRHHSmoakC8,Novice,Abdominals,Obliques,Rectus Abdominis,Core,Unilateral,Unsorted*,2025-08-10 01:02:44.550093+00,Superband
7094,Superband Single Leg Standing Bent Knee Hip External Rotation,,https://youtu.be/z97Mxord2Po,Novice,Glutes,Gluteus Maximus,Gluteus Medius,Lower Body,Unilateral,Unsorted*,2025-08-10 01:02:44.550093+00,Superband
7095,Macebell Reverse Grip Offset Bicep Curl,,,Novice,Forearms,Brachioradialis,Biceps Brachii,Upper Body,Bilateral,Bodybuilding,2025-08-10 01:02:44.550093+00,Macebell
7096,Ring Archer Row,https://youtu.be/s1Cuq185q6Y?si=TNXwSjV_mkE_2ty0,https://youtu.be/Ws9_paHK0so?si=Kvjudlnfl3VJzrNo,Novice,Shoulders,Posterior Deltoids,,Upper Body,Unilateral,Unsorted*,2025-08-10 01:02:44.550093+00,Gymnastic Rings
7097,Single Arm Landmine Row to Rotational Shoulder Press,https://youtu.be/f-sh_ImlQUo,https://youtu.be/8g61ghscJ1E,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,Full Body,Unilateral,Bodybuilding,2025-08-10 01:02:44.550093+00,Landmine
7098,Bodyweight Hand Assisted Skater Squat,https://youtu.be/DExb7UaAlbg,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Lower Body,Unilateral,Calisthenics,2025-08-10 01:02:44.550093+00,Bodyweight
