exercise_name,video_link,video_explanation,expereince_level,target_muscle,primary_muscle,secondary_muscle,equipment ,Category,Laterality,Primary Exercise Classification
Single Arm Dumbbell Seated Shoulder External Rotation,Video Demonstration,Video Explanation,Novice,Shoulders,Posterior Deltoids,Infraspinatus,Dumbbell,Upper Body,Unilateral,Unsorted*
Double Dumbbell Seated Cuban Rotation,Video Demonstration,Video Explanation,Novice,Shoulders,Posterior Deltoids,Infraspinatus,Dumbbell,Upper Body,Bilateral,Unsorted*
Double Dumbbell Cuban Rotation,Video Demonstration,,Novice,Shoulders,Posterior Deltoids,Infraspinatus,Dumbbell,Upper Body,Bilateral,Unsorted*
Single Arm Cable Half Kneeling Contralateral Shoulder External Rotation 90 Degrees,Video Demonstration,Video Explanation,Novice,Shoulders,Posterior Deltoids,Infraspinatus,Cable,Upper Body,Unilateral,Unsorted*
Miniband Fire Hydrant,Video Demonstration,,Beginner,Glutes,Gluteus Maximus,Gluteus Medius,Miniband,Lower Body,Unilateral,Bodybuilding
Medicine Ball Russian Twist,Video Demonstration,Video Explanation,Novice,Abdominals,Obliques,Rectus Abdominis,Medicine Ball,Core,Bilateral,Unsorted*
Bodyweight Side Plank,Video Demonstration,Video Explanation,Novice,Abdominals,Obliques,Rectus Abdominis,Bodyweight,Core,Unilateral,Calisthenics
Cable Reverse Crunch,Video Demonstration,Video Explanation,Novice,Abdominals,Rectus Abdominis,Iliopsoas,Cable,Core,Bilateral,Unsorted*
Cable Rope Half Kneeling High to Low Chop,Video Demonstration,Video Explanation,Intermediate,Abdominals,Obliques,Rectus Abdominis,Cable,Core,Bilateral,Unsorted*
Cable Rope Half Kneeling Low to High Chop,Video Demonstration,Video Explanation,Intermediate,Abdominals,Obliques,Rectus Abdominis,Cable,Core,Bilateral,Unsorted*
Slider Double Kettlebell Bottoms Up Overhead Lateral Lunge,,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Sliders,Lower Body,Unilateral,Bodybuilding
Cable Rope Staggered Stance High to Low Chop ,Video Demonstration,Video Explanation,Intermediate,Abdominals,Obliques,Rectus Abdominis,Cable,Core,Bilateral,Unsorted*
Cable Rope Staggered Stance Low to High Chop,,,Intermediate,Abdominals,Obliques,Rectus Abdominis,Cable,Core,Bilateral,Unsorted*
Single Arm Dumbbell Windmill,Video Demonstration,Video Explanation,Intermediate,Abdominals,Obliques,Rectus Abdominis,Dumbbell,Core,Unilateral,Unsorted*
Slider Double Kettlebell Bottoms Up Front Rack Lateral Lunge,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Sliders,Lower Body,Unilateral,Bodybuilding
Slider Double Kettlebell Front Rack Lateral Lunge,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Sliders,Lower Body,Unilateral,Bodybuilding
Bodyweight Feet On Wall Mountain Climber ,Video Demonstration,Video Explanation,Advanced,Abdominals,Rectus Abdominis,Iliopsoas,Bodyweight,Core,Unilateral,Calisthenics
Slider Double Kettlebell Suitcase Reverse Lunge,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Sliders,Lower Body,Unilateral,Bodybuilding
Bodyweight Hollow Body Hold,Video Demonstration,Video Explanation,Novice,Abdominals,Rectus Abdominis,,Bodyweight,Core,Bilateral,Unsorted*
Dumbbell Crush Grip Hollow Body Hold,Video Demonstration,,Intermediate,Abdominals,Rectus Abdominis,,Dumbbell,Core,Bilateral,Unsorted*
Bar Inverted Hanging Crunch,Video Demonstration,Video Explanation,Expert,Abdominals,Rectus Abdominis,Iliopsoas,Pull Up Bar,Core,Bilateral,Unsorted*
Bodyweight Inverted Hanging Oblique Crunch,,,Expert,Abdominals,Obliques,Rectus Abdominis,Bodyweight,Core,Bilateral,Unsorted*
Slider Double Kettlebell Front Rack Reverse Lunge,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Sliders,Lower Body,Unilateral,Bodybuilding
Bodyweight Supine Alternating Single Leg Raise,Video Demonstration,Video Explanation,Beginner,Abdominals,Rectus Abdominis,Iliopsoas,Bodyweight,Core,Unilateral,Unsorted*
Bodyweight Supine Leg Raise,Video Demonstration,,Novice,Abdominals,Rectus Abdominis,Iliopsoas,Bodyweight,Core,Bilateral,Unsorted*
Miniband Bicycle Crunch,Video Demonstration,Video Explanation,Novice,Abdominals,Obliques,Rectus Abdominis,Miniband,Core,Unilateral,Unsorted*
Bodyweight Side Plank Reach Through,Video Demonstration,Video Explanation,Novice,Abdominals,Obliques,Rectus Abdominis,Bodyweight,Core,Unilateral,Calisthenics
Bodyweight Sit Up,Video Demonstration,Video Explanation,Novice,Abdominals,Rectus Abdominis,,Bodyweight,Core,Bilateral,Unsorted*
Bodyweight Butterfly Sit Up,Video Demonstration,Video Explanation,Novice,Abdominals,Rectus Abdominis,,Bodyweight,Core,Bilateral,Unsorted*
Slider Mountain Climber,Video Demonstration,Video Explanation,Novice,Abdominals,Rectus Abdominis,Iliopsoas,Sliders,Core,Unilateral,Unsorted*
Slider Pike ,Video Demonstration,Video Explanation,Advanced,Abdominals,Rectus Abdominis,,Sliders,Core,Bilateral,Unsorted*
Stability Ball Pike,Video Demonstration,Video Explanation,Advanced,Abdominals,Rectus Abdominis,,Stability Ball,Core,Bilateral,Unsorted*
Slider Wide Mountain Climber,Video Demonstration,,Intermediate,Abdominals,Rectus Abdominis,Iliopsoas,Sliders,Core,Unilateral,Unsorted*
Stability Ball Crunch,Video Demonstration,Video Explanation,Beginner,Abdominals,Rectus Abdominis,Iliopsoas,Stability Ball,Core,Bilateral,Unsorted*
Stability Ball Feet Elevated Oblique Crunch,Video Demonstration,,Beginner,Abdominals,Obliques,Rectus Abdominis,Stability Ball,Core,Bilateral,Unsorted*
Stability Ball Kneeling Rollout,Video Demonstration,Video Explanation,Beginner,Abdominals,Rectus Abdominis,Latissimus Dorsi,Stability Ball,Core,Bilateral,Unsorted*
Stability Ball Single Leg Knee Tuck,Video Demonstration,Video Explanation,Advanced,Abdominals,Rectus Abdominis,,Stability Ball,Core,Unilateral,Unsorted*
Stability Ball Single Leg Pike,Video Demonstration,,Expert,Abdominals,Rectus Abdominis,,Stability Ball,Core,Unilateral,Unsorted*
Double Dumbbell Z Press,Video Demonstration,Video Explanation,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,Dumbbell,Upper Body,Bilateral,Bodybuilding
Slider Double Kettlebell Overhead Reverse Lunge,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Sliders,Lower Body,Unilateral,Bodybuilding
Double Dumbbell Romanian Deadlift,Video Demonstration,Video Explanation,Beginner,Hamstrings,Biceps Femoris,Gluteus Maximus,Dumbbell,Lower Body,Bilateral,Bodybuilding
Single Arm Dumbbell Side Plank,Video Demonstration,,Intermediate,Abdominals,Obliques,Rectus Abdominis,Dumbbell,Core,Unilateral,Unsorted*
Bodyweight Single Leg Glute Bridge,Video Demonstration,Video Explanation,Novice,Glutes,Gluteus Maximus,Biceps Femoris,Bodyweight,Lower Body,Unilateral,Bodybuilding
Dumbbell Glute Bridge,Video Demonstration,Video Explanation,Beginner,Glutes,Gluteus Maximus,Biceps Femoris,Dumbbell,Lower Body,Bilateral,Bodybuilding
Bodyweight Glute Bridge Isometric with Alternating Single Leg Extension,Video Demonstration,Video Explanation,Beginner,Glutes,Gluteus Maximus,Biceps Femoris,Bodyweight,Lower Body,Unilateral,Bodybuilding
Miniband Side Lying Clamshell,Video Demonstration,Video Explanation,Beginner,Glutes,Gluteus Maximus,Gluteus Medius,Miniband,Lower Body,Unilateral,Bodybuilding
Miniband Ankle Side Lying Hip Abduction,Video Demonstration,,Beginner,Abductors,Gluteus Medius,Gluteus Minimus,Miniband,Lower Body,Unilateral,Bodybuilding
Miniband Bench Seated Hip Abduction,Video Demonstration,,Beginner,Abductors,Gluteus Medius,Gluteus Minimus,Miniband,Lower Body,Bilateral,Bodybuilding
Miniband Glute Bridge Hip Abduction,Video Demonstration,,Beginner,Glutes,Gluteus Maximus,Gluteus Medius,Miniband,Lower Body,Bilateral,Bodybuilding
Stability Ball Hip Thrust,Video Demonstration,Video Explanation,Beginner,Glutes,Gluteus Maximus,Biceps Femoris,Stability Ball,Lower Body,Bilateral,Bodybuilding
Stability Ball Dumbbell Hip Thrust,Video Demonstration,,Beginner,Glutes,Gluteus Maximus,Biceps Femoris,Stability Ball,Lower Body,Bilateral,Bodybuilding
Bodyweight Frog Pump,Video Demonstration,Video Explanation,Beginner,Glutes,Gluteus Maximus,Biceps Femoris,Bodyweight,Lower Body,Bilateral,Unsorted*
Dumbbell Frog Pump,Video Demonstration,Video Explanation,Beginner,Glutes,Gluteus Maximus,Biceps Femoris,Dumbbell,Lower Body,Bilateral,Unsorted*
Cable Glute Kickback,Video Demonstration,Video Explanation,Novice,Glutes,Gluteus Maximus,,Cable,Lower Body,Unilateral,Bodybuilding
Bodyweight Single Leg Foot Elevated Glute Bridge,Video Demonstration,Video Explanation,Novice,Glutes,Gluteus Maximus,Biceps Femoris,Bodyweight,Lower Body,Unilateral,Bodybuilding
Suspension Feet Elevated Glute Bridge,Video Demonstration,Video Explanation,Novice,Glutes,Gluteus Maximus,Biceps Femoris,Suspension Trainer,Lower Body,Bilateral,Bodybuilding
Miniband Thigh Lateral Walk,Video Demonstration,Video Explanation,Beginner,Abductors,Gluteus Medius,Gluteus Minimus,Miniband,Lower Body,Unilateral,Bodybuilding
Miniband Ankle Lateral Walk,Video Demonstration,Video Explanation,Novice,Abductors,Gluteus Medius,Gluteus Minimus,Miniband,Lower Body,Unilateral,Bodybuilding
Miniband Feet Lateral Walk,Video Demonstration,Video Explanation,Intermediate,Abductors,Gluteus Medius,Gluteus Minimus,Miniband,Lower Body,Unilateral,Bodybuilding
Miniband Standing Glute Kickback,Video Demonstration,Video Explanation,Novice,Glutes,Gluteus Maximus,,Miniband,Lower Body,Unilateral,Bodybuilding
Barbell Hip Thrust,Video Demonstration,Video Explanation,Novice,Glutes,Gluteus Maximus,Biceps Femoris,Barbell,Lower Body,Bilateral,Bodybuilding
Barbell Single Leg Hip Thrust,Video Demonstration,,Intermediate,Glutes,Gluteus Maximus,Biceps Femoris,Barbell,Lower Body,Unilateral,Bodybuilding
Stability Ball Single Leg Foot Elevated Glute Bridge,Video Demonstration,,Intermediate,Glutes,Gluteus Maximus,Biceps Femoris,Stability Ball,Lower Body,Unilateral,Bodybuilding
Miniband Standing Hip Abduction,Video Demonstration,,Novice,Abductors,Gluteus Medius,Gluteus Minimus,Miniband,Lower Body,Bilateral,Bodybuilding
Miniband 3 Way Cha Cha,Video Demonstration,,Beginner,Abductors,Gluteus Medius,Gluteus Minimus,Miniband,Lower Body,Unilateral,Bodybuilding
Slider Single Arm Kettlebell Suitcase Contralateral Reverse Lunge,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Sliders,Lower Body,Contralateral,Bodybuilding
Cable Hip Abduction,Video Demonstration,Video Explanation,Novice,Abductors,Gluteus Medius,Gluteus Minimus,Cable,Lower Body,Unilateral,Unsorted*
Miniband Wall Sit Hip Abduction,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Medius,Miniband,Lower Body,Bilateral,Unsorted*
Slider Barbell Overhead Lateral Lunge,,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Sliders,Lower Body,Unilateral,Bodybuilding
Single Arm Dumbbell Half Kneeling Contralateral Overhead Press,Video Demonstration,,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,Dumbbell,Upper Body,Contralateral,Bodybuilding
Barbell Shrug,,Video Explanation,Novice,Trapezius,Upper Trapezius,Levator Scapulae,Barbell,Upper Body,Bilateral,Bodybuilding
Cable Face Pull,Video Demonstration,Video Explanation,Novice,Shoulders,Posterior Deltoids,Infraspinatus,Cable,Upper Body,Bilateral,Unsorted*
Cable Seated Face Pull,Video Demonstration,,Novice,Shoulders,Posterior Deltoids,Infraspinatus,Cable,Upper Body,Bilateral,Unsorted*
Cable Guillotine Curl,Video Demonstration,,Novice,Biceps,Biceps Brachii,Brachialis,Cable,Upper Body,Bilateral,Bodybuilding
Cable Supine Bicep Curl,Video Demonstration,,Novice,Biceps,Biceps Brachii,Brachialis,Cable,Upper Body,Bilateral,Bodybuilding
Cable Straight Bar High Bicep Curl,Video Demonstration,,Novice,Biceps,Biceps Brachii,Brachialis,Cable,Upper Body,Bilateral,Bodybuilding
Double Dumbbell Spider Curl,Video Demonstration,Video Explanation,Novice,Biceps,Biceps Brachii,Brachialis,Dumbbell,Upper Body,Bilateral,Bodybuilding
EZ Bar Spider Curl,Video Demonstration,Video Explanation,Novice,Biceps,Biceps Brachii,Brachialis,EZ Bar,Upper Body,Bilateral,Bodybuilding
Stability Ball Cable Preacher Curl,Video Demonstration,,Novice,Biceps,Biceps Brachii,Brachialis,Stability Ball,Upper Body,Bilateral,Bodybuilding
Single Arm Dumbbell Standing Concentration Curl,Video Demonstration,Video Explanation,Novice,Biceps,Biceps Brachii,Brachialis,Dumbbell,Upper Body,Unilateral,Bodybuilding
EZ Bar Wide Grip Bicep Curl,Video Demonstration,,Novice,Biceps,Biceps Brachii,Brachialis,EZ Bar,Upper Body,Bilateral,Bodybuilding
Single Arm Cable Standing High Bicep Curl,Video Demonstration,,Novice,Biceps,Biceps Brachii,Brachialis,Cable,Upper Body,Unilateral,Bodybuilding
EZ Bar Seated Overhead Tricep Extension,Video Demonstration,Video Explanation,Novice,Triceps,Triceps Brachii,Anterior Deltoids,EZ Bar,Upper Body,Bilateral,Bodybuilding
EZ Bar Overhead Tricep Extension,Video Demonstration,Video Explanation,Novice,Triceps,Triceps Brachii ,Anterior Deltoids,EZ Bar,Upper Body,Bilateral,Bodybuilding
Barbell Thruster,Video Demonstration,Video Explanation,Intermediate,Quadriceps,Quadriceps Femoris,Anterior Deltoids,Barbell,Full Body,Bilateral,Bodybuilding
Bodyweight Diamond Push Up,Video Demonstration,Video Explanation,Novice,Triceps,Triceps Brachii ,Pectoralis Major,Bodyweight,Upper Body,Bilateral,Calisthenics
EZ Bar Lying Tricep Extension ,Video Demonstration,Video Explanation,Novice,Triceps,Triceps Brachii ,,EZ Bar,Upper Body,Bilateral,Bodybuilding
Cable Rope Overhead Tricep Extension,Video Demonstration,Video Explanation,Novice,Triceps,Triceps Brachii ,Anterior Deltoids,Cable,Upper Body,Bilateral,Bodybuilding
Single Arm Cable Reverse Grip Tricep Pushdown,Video Demonstration,Video Explanation,Novice,Triceps,Triceps Brachii ,,Cable,Upper Body,Unilateral,Bodybuilding
EZ Bar Reverse Grip Bicep Curl,Video Demonstration,Video Explanation,Novice,Forearms,Brachioradialis,Biceps Brachii,EZ Bar,Upper Body,Bilateral,Bodybuilding
Stability Ball Single Arm Dumbbell Chest Press,Video Demonstration,,Novice,Chest,Pectoralis Major,Triceps Brachii,Stability Ball,Upper Body,Unilateral,Bodybuilding
Suspension Face Pull,Video Demonstration,,Novice,Shoulders,Posterior Deltoids,Infraspinatus,Suspension Trainer,Upper Body,Bilateral,Unsorted*
Landmine V Grip Row,Video Demonstration,Video Explanation,Novice,Back,Latissimus Dorsi,,Landmine,Upper Body,Bilateral,Bodybuilding
Double Dumbbell Thruster,Video Demonstration,Video Explanation,Novice,Quadriceps,Quadriceps Femoris,Anterior Deltoids,Dumbbell,Full Body,Bilateral,Bodybuilding
Single Arm Dumbbell Thruster,Video Demonstration,Video Explanation,Novice,Quadriceps,Quadriceps Femoris,Anterior Deltoids,Dumbbell,Full Body,Unilateral,Bodybuilding
Single Arm Landmine Row,Video Demonstration,,Novice,Back,Latissimus Dorsi,,Landmine,Upper Body,Unilateral,Bodybuilding
Superband Assisted Bar Pull Up,Video Demonstration,Video Explanation,Novice,Back,Latissimus Dorsi,,Superband,Upper Body,Bilateral,Calisthenics
Stability Ball Prone Cobra,Video Demonstration,Video Explanation,Novice,Back,Erector Spinae ,,Stability Ball,Upper Body,Bilateral,Postural
Single Arm Dumbbell Overhead Carry,Video Demonstration,,Intermediate,Shoulders,Anterior Deltoids,Obliques,Dumbbell,Full Body,Unilateral,Unsorted*
Double Dumbbell Pendlay Row,Video Demonstration,,Novice,Back,Latissimus Dorsi,,Dumbbell,Upper Body,Bilateral,Bodybuilding
Cable Straight Bar Pullover,Video Demonstration,Video Explanation,Novice,Back,Latissimus Dorsi,,Cable,Upper Body,Bilateral,Bodybuilding
Single Arm Cable Half Kneeling Lat Pulldown,Video Demonstration,,Novice,Back,Latissimus Dorsi,,Cable,Upper Body,Unilateral,Bodybuilding
Single Arm Cable Half Kneeling Low Row,Video Demonstration,,Novice,Back,Latissimus Dorsi,,Cable,Upper Body,Unilateral,Bodybuilding
Single Arm Suspension Low Row,Video Demonstration,Video Explanation,Novice,Back,Latissimus Dorsi,Biceps Brachii,Suspension Trainer,Upper Body,Unilateral,Unsorted*
Double Dumbbell Incline Bench Prone Row,Video Demonstration,Video Explanation,Novice,Back,Latissimus Dorsi,,Dumbbell,Upper Body,Bilateral,Bodybuilding
Barbell Pendlay Row,Video Demonstration,Video Explanation,Novice,Back,Latissimus Dorsi,,Barbell,Upper Body,Bilateral,Bodybuilding
Barbell Bench Press,Video Demonstration,Video Explanation,Novice,Chest,Pectoralis Major,Triceps Brachii,Barbell,Upper Body,Bilateral,Powerlifting
