exercise_name,video_link,video_explanation,expereince_level,target_muscle,primary_muscle,secondary_muscle,equipment ,Category,Laterality,Primary Exercise Classification
Bodyweight Plate Plyometric Push Up,Video Demonstration,Video Explanation,Intermediate,Chest,Pectoralis Major,Triceps Brachii,Bodyweight,Upper Body,Bilateral,Plyometric
Single Arm Dumbbell Single Leg Contralateral Bent Over Row,Video Demonstration,,Intermediate,Back,Latissimus Dorsi,Rhomboids,Dumbbell,Upper Body,Contralateral,Bodybuilding
Double Dumbbell Single Leg Bent Over Row,Video Demonstration,Video Explanation,Intermediate,Back,Latissimus Dorsi,Rhomboids,Dumbbell,Upper Body,Unilateral,Bodybuilding
Single Arm Kettlebell Bottoms Up Thruster,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Anterior Deltoids,Kettlebell,Full Body,Unilateral,Bodybuilding
Alternating Double Kettlebell Bottoms Up Thruster,,,Intermediate,Quadriceps,Quadriceps Femoris,Anterior Deltoids,Kettlebell,Full Body,Unilateral,Bodybuilding
Single Arm Kettlebell Dead Clean,Video Demonstration,Video Explanation,Intermediate,Glutes,Gluteus Maximus,Biceps Femoris,Kettlebell,Full Body,Unilateral,Ballistics
Alternating Single Arm Kettlebell Dead Clean,Video Demonstration,,Intermediate,Glutes,Gluteus Maximus,Biceps Femoris,Kettlebell,Full Body,Unilateral,Ballistics
Single Arm Dumbbell Bird Dog Row,Video Demonstration,,Intermediate,Back,Latissimus Dorsi,Rectus Abdominis,Dumbbell,Upper Body,Unilateral,Bodybuilding
Single Arm Kettlebell Bottoms Up Half Kneeling Windmill,Video Demonstration,,Advanced,Abdominals,Obliques,Rectus Abdominis,Kettlebell,Core,Unilateral,Grinds
Alternating Single Arm Kettlebell Half Kneeling Around the World High Catch,,,Intermediate,Abdominals,Rectus Abdominis,,Kettlebell,Core,Unilateral,Unsorted*
Double Dumbbell Renegade Row ,Video Demonstration,Video Explanation,Intermediate,Back,Latissimus Dorsi,,Dumbbell,Upper Body,Unilateral,Bodybuilding
Single Arm Barbell Overhead Toe Balance Squat,,,Expert,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Barbell,Lower Body,Unilateral,Balance
Barbell Overhead Toe Balance Squat,,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Barbell,Lower Body,Bilateral,Balance
Ring Kneeling Rollout,Video Demonstration,,Intermediate,Abdominals,Rectus Abdominis,Latissimus Dorsi,Gymnastic Rings,Core,Bilateral,Calisthenics
Single Arm Ring Kneeling Rollout,,,Advanced,Abdominals,Rectus Abdominis,Latissimus Dorsi,Gymnastic Rings,Core,Unilateral,Calisthenics
Ring Standing Rollout,Video Demonstration,,Advanced,Abdominals,Rectus Abdominis,Latissimus Dorsi,Gymnastic Rings,Core,Bilateral,Calisthenics
Single Arm Landmine Shoulder Press,Video Demonstration,Video Explanation,Intermediate,Shoulders,Anterior Deltoids,,Landmine,Upper Body,Unilateral,Unsorted*
Alternating Single Arm Landmine Shoulder Press,Video Demonstration,,Intermediate,Shoulders,Anterior Deltoids,,Landmine,Upper Body,Unilateral,Unsorted*
Single Arm Kettlebell Bent Press,Video Demonstration,Video Explanation,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,Kettlebell,Full Body,Unilateral,Grinds
Alternating Single Arm Kettlebell Around the World High Catch to Squat,,,Intermediate,Abdominals,Rectus Abdominis,Quadriceps Femoris,Kettlebell,Core,Unilateral,Unsorted*
Double Kettlebell Overhead Alternating Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Kettlebell,Lower Body,Unilateral,Bodybuilding
Double Kettlebell Front Rack Cossack Squat,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Kettlebell,Lower Body,Unilateral,Bodybuilding
Double Kettlebell Front Rack Low Switch Cossack Squat,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Kettlebell,Lower Body,Unilateral,Bodybuilding
Alternating Single Arm Kettlebell Bottoms Up Clean to Overhead Press,,,Intermediate,Shoulders,Anterior Deltoids,Gluteus Maximus,Kettlebell,Full Body,Unilateral,Ballistics
Double Kettlebell Bottoms Up Clean to Overhead Press,,,Intermediate,Shoulders,Anterior Deltoids,Gluteus Maximus,Kettlebell,Full Body,Bilateral,Ballistics
Double Kettlebell Bottoms Up Overhead Knee Over Toe Split Squat,,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,Lower Body,Unilateral,Bodybuilding
Single Arm Landmine Half Kneeling Contralateral Shoulder Press,Video Demonstration,Video Explanation,Intermediate,Shoulders,Anterior Deltoids,,Landmine,Upper Body,Contralateral,Unsorted*
Bodyweight Bulgarian Split Squat,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Bodyweight,Lower Body,Unilateral,Bodybuilding
Plate Otis Up,Video Demonstration,Video Explanation,Novice,Abdominals,Rectus Abdominis,Iliopsoas,Weight Plate,Core,Bilateral,Unsorted*
Double Kettlebell Overhead Pistol Squat,,,Expert,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,Lower Body,Unilateral,Balance
Double Kettlebell Bottoms Up Front Rack Pistol Squat,Video Demonstration,,Expert,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,Lower Body,Unilateral,Balance
Double Kettlebell Bottoms Up Overhead Pistol Squat,,,Expert,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,Lower Body,Unilateral,Balance
Double Kettlebell Clean to Sots Press,Video Demonstration,,Intermediate,Shoulders,Anterior Deltoids,Gluteus Maximus,Kettlebell,Full Body,Bilateral,Ballistics
Double Kettlebell Bottoms Up Clean to Sots Press,,,Advanced,Shoulders,Anterior Deltoids,Gluteus Maximus,Kettlebell,Full Body,Bilateral,Ballistics
Single Arm Landmine Tall Kneeling Shoulder Press,Video Demonstration,,Intermediate,Shoulders,Anterior Deltoids,,Landmine,Upper Body,Unilateral,Unsorted*
Single Arm Landmine Z Press,Video Demonstration,,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,Landmine,Upper Body,Unilateral,Bodybuilding
Barbell Z Press,Video Demonstration,Video Explanation,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,Barbell,Upper Body,Bilateral,Bodybuilding
Single Arm Suspension Bicep Curl,Video Demonstration,Video Explanation,Intermediate,Biceps,Biceps Brachii,Brachialis,Suspension Trainer,Upper Body,Unilateral,Unsorted*
Suspension Atomic Push Up,Video Demonstration,,Intermediate,Chest,Pectoralis Major,Rectus Abdominis,Suspension Trainer,Upper Body,Bilateral,Unsorted*
Parallette Feet Elevated Close Grip Push Up,,,Intermediate,Triceps,Triceps Brachii,Pectoralis Major,Parallette Bars,Upper Body,Bilateral,Calisthenics
Double Kettlebell Clean to Thruster,Video Demonstration,,Intermediate,Shoulders,Anterior Deltoids,Gluteus Maximus,Kettlebell,Full Body,Bilateral,Unsorted*
Bodyweight Archer Push Up,Video Demonstration,Video Explanation,Intermediate,Chest,Pectoralis Major,,Bodyweight,Upper Body,Unilateral,Calisthenics
Parallette Archer Push Up,Video Demonstration,,Intermediate,Chest,Pectoralis Major,,Parallette Bars,Upper Body,Unilateral,Calisthenics
Single Arm Suspension Push Up,Video Demonstration,,Intermediate,Chest,Pectoralis Major,Triceps Brachii,Suspension Trainer,Upper Body,Unilateral,Unsorted*
Ring Skin the Cat,Video Demonstration,Video Explanation,Intermediate,Back,Latissimus Dorsi,Rectus Abdominis,Gymnastic Rings,Upper Body,Bilateral,Calisthenics
Double Kettlebell Bottoms Up Overhead Bulgarian Split Squat,,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,Lower Body,Unilateral,Bodybuilding
Single Arm Kettlebell Bottoms Up Overhead Contralateral Bulgarian Split Squat,,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,Lower Body,Contralateral,Bodybuilding
Single Arm Kettlebell Suitcase Contralateral Bulgarian Split Squat,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,Lower Body,Contralateral,Bodybuilding
Single Arm Kettlebell Suitcase Ipsilateral Bulgarian Split Squat,,Video Explanation,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,Lower Body,Ipsilateral,Bodybuilding
Double Kettlebell Bottoms Up Front Rack Bulgarian Split Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,Lower Body,Unilateral,Bodybuilding
Double Kettlebell Suitcase Bulgarian Split Squat,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,Lower Body,Unilateral,Bodybuilding
Double Kettlebell Bulgarian Split Squat Thruster ,,,Advanced,Shoulders,Anterior Deltoids,Quadriceps Femoris,Kettlebell,Full Body,Unilateral,Bodybuilding
Double Kettlebell Bottoms Up Bulgarian Split Squat Thruster,,,Advanced,Shoulders,Anterior Deltoids,Quadriceps Femoris,Kettlebell,Full Body,Unilateral,Bodybuilding
Single Arm Kettlebell Bottoms Up Front Rack Contralateral Bulgarian Split Squat,,Video Explanation,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,Lower Body,Contralateral,Bodybuilding
Single Arm Kettlebell Front Rack Contralateral Bulgarian Split Squat,,Video Explanation,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,Lower Body,Contralateral,Bodybuilding
Ring Feet Elevated Row,Video Demonstration,Video Explanation,Intermediate,Back,Latissimus Dorsi,Biceps Brachii,Gymnastic Rings,Upper Body,Bilateral,Calisthenics
Single Arm Kettlebell Bottoms Up Front Rack Ipsilateral Bulgarian Split Squat,,Video Explanation,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,Lower Body,Ipsilateral,Bodybuilding
Ring Feet Elevated Bulgarian Row,Video Demonstration,Video Explanation,Intermediate,Back,Latissimus Dorsi,Biceps Brachii,Gymnastic Rings,Upper Body,Bilateral,Calisthenics
Ring Feet Elevated Archer Row,,,Intermediate,Back,Latissimus Dorsi,Biceps Brachii,Gymnastic Rings,Upper Body,Unilateral,Calisthenics
Ring Push Up,Video Demonstration,Video Explanation,Intermediate,Chest,Pectoralis Major,Triceps Brachii,Gymnastic Rings,Upper Body,Bilateral,Calisthenics
Ring Chest Fly,Video Demonstration,Video Explanation,Intermediate,Chest,Pectoralis Major,Anterior Deltoids,Gymnastic Rings,Upper Body,Bilateral,Unsorted*
Double Kettlebell Feet Elevated Push Up,Video Demonstration,,Intermediate,Chest,Pectoralis Major,Triceps Brachii,Kettlebell,Upper Body,Bilateral,Calisthenics
Single Arm Kettlebell Bottoms Up Half Kneeling Contralateral Overhead Press,Video Demonstration,,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,Kettlebell,Upper Body,Contralateral,Bodybuilding
Parallette Alternating Shoulder Tap Push Up,Video Demonstration,,Intermediate,Chest,Pectoralis Major,Triceps Brachii,Parallette Bars,Upper Body,Unilateral,Calisthenics
Parallette Dive Bomber Push Up,Video Demonstration,Video Explanation,Intermediate,Chest,Pectoralis Major,Triceps Brachii,Parallette Bars,Upper Body,Bilateral,Calisthenics
Barbell Front Rack Bulgarian Split Squat,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Barbell,Lower Body,Unilateral,Bodybuilding
Barbell Back Rack Bulgarian Split Squat,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Barbell,Lower Body,Unilateral,Bodybuilding
Single Arm Suspension Contralateral Pistol Squat,,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Suspension Trainer,Lower Body,Contralateral,Balance
Barbell Front Rack Alternating Curtsy Lunge,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Barbell,Lower Body,Unilateral,Bodybuilding
Bodyweight Dragon Flag,Video Demonstration,Video Explanation,Advanced,Abdominals,Rectus Abdominis,,Bodyweight,Core,Bilateral,Calisthenics
Single Arm Kettlebell Front Rack Ipsilateral Bulgarian Split Squat,,Video Explanation,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,Lower Body,Ipsilateral,Bodybuilding
Bodyweight Dive Bomber Push Up,Video Demonstration,Video Explanation,Intermediate,Chest,Pectoralis Major,Triceps Brachii,Bodyweight,Upper Body,Bilateral,Calisthenics
Barbell Staggered Stance Push Press,,,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,Barbell,Upper Body,Bilateral,Unsorted*
Parallette Full Planche,Video Demonstration,,Expert,Abdominals,Rectus Abdominis,,Parallette Bars,Full Body,Bilateral,Calisthenics
Double Dumbbell Renegade Row to Push Up,Video Demonstration,,Intermediate,Back,Latissimus Dorsi,,Dumbbell,Upper Body,Unilateral,Bodybuilding
Ring Inverted Iron Cross,Video Demonstration,,Grand Master,Back,Latissimus Dorsi,Biceps Brachii,Gymnastic Rings,Full Body,Bilateral,Calisthenics
Barbell Reverse Grip Front Raise,Video Demonstration,,Novice,Shoulders,Anterior Deltoids,Pectoralis Major,Barbell,Upper Body,Bilateral,Bodybuilding
Ring Tuck Planche,Video Demonstration,,Advanced,Abdominals,Rectus Abdominis,Biceps Brachii,Gymnastic Rings,Full Body,Bilateral,Calisthenics
Barbell Seated Reverse Grip Wrist Curl,,Video Explanation,Intermediate,Forearms,Brachioradialis,,Barbell,Upper Body,Bilateral,Unsorted*
Ring Full Planche,,,Master,Abdominals,Rectus Abdominis,,Gymnastic Rings,Full Body,Bilateral,Calisthenics
Alternating Single Arm Parallette Push Up,,,Intermediate,Chest,Pectoralis Major,Triceps Brachii,Parallette Bars,Upper Body,Unilateral,Calisthenics
Ring Scapular Pull Up,,,Intermediate,Back,Latissimus Dorsi,Rhomboids,Gymnastic Rings,Upper Body,Bilateral,Calisthenics
Ring Grip Full Planche,,,Grand Master,Abdominals,Rectus Abdominis,,Gymnastic Rings,Full Body,Bilateral,Calisthenics
Bodyweight Full Planche,Video Demonstration,,Expert,Abdominals,Rectus Abdominis,,Bodyweight,Full Body,Bilateral,Calisthenics
Cable Quadruped Hip Abduction,Video Demonstration,,Novice,Abductors,Gluteus Medius,Gluteus Minimus,Cable,Lower Body,Unilateral,Unsorted*
Barbell Reverse Grip Bench Press,Video Demonstration,Video Explanation,Intermediate,Chest,Pectoralis Major,,Barbell,Upper Body,Bilateral,Bodybuilding
Double Kettlebell Turkish Get Up,Video Demonstration,Video Explanation,Advanced,Abdominals,Obliques,Rectus Abdominis,Kettlebell,Full Body,Bilateral,Grinds
Single Arm Kettlebell Rotational Overhead Press,Video Demonstration,,Intermediate,Shoulders,Anterior Deltoids,,Kettlebell,Upper Body,Unilateral,Bodybuilding
Single Arm Kettlebell Z Press,Video Demonstration,Video Explanation,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,Kettlebell,Upper Body,Unilateral,Bodybuilding
Parallette Straddle Planche,Video Demonstration,,Expert,Abdominals,Rectus Abdominis,,Parallette Bars,Full Body,Bilateral,Calisthenics
Single Arm Kettlebell Sots Press,Video Demonstration,,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,Kettlebell,Upper Body,Unilateral,Bodybuilding
Ring Straddle Planche,,,Master,Abdominals,Rectus Abdominis,,Gymnastic Rings,Full Body,Bilateral,Calisthenics
Double Kettlebell Renegade Row ,Video Demonstration,Video Explanation,Intermediate,Back,Latissimus Dorsi,,Kettlebell,Upper Body,Unilateral,Bodybuilding
Barbell Turkish Sit Up,Video Demonstration,,Intermediate,Abdominals,Rectus Abdominis,Anterior Deltoids,Barbell,Core,Bilateral,Unsorted*
Plate Turkish Sit Up,Video Demonstration,,Intermediate,Abdominals,Rectus Abdominis,Anterior Deltoids,Weight Plate,Core,Bilateral,Unsorted*
Double Kettlebell Renegade Row to Push Up,Video Demonstration,,Intermediate,Back,Latissimus Dorsi,,Kettlebell,Upper Body,Unilateral,Bodybuilding
Single Arm Barbell Turkish Sit Up,,,Advanced,Abdominals,Rectus Abdominis,Anterior Deltoids,Barbell,Core,Bilateral,Unsorted*
Dumbbell Crush Grip Romanian Deadlift,Video Demonstration,,Beginner,Hamstrings,Biceps Femoris,Gluteus Maximus,Dumbbell,Lower Body,Bilateral,Bodybuilding
Single Arm Kettlebell Half Kneeling Contralateral Overhead Press,Video Demonstration,Video Explanation,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,Kettlebell,Upper Body,Contralateral,Bodybuilding
Double Kettlebell Knee Over Toe Split Squat Thruster,,,Advanced,Shoulders,Anterior Deltoids,Quadriceps Femoris,Kettlebell,Full Body,Unilateral,Bodybuilding
Double Kettlebell Bottoms Up Knee Over Toe Split Squat Thruster,,,Advanced,Shoulders,Anterior Deltoids,Quadriceps Femoris,Kettlebell,Full Body,Unilateral,Bodybuilding
Single Arm Kettlebell Bottoms Up Z Press,Video Demonstration,,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,Kettlebell,Upper Body,Unilateral,Bodybuilding
Double Kettlebell Bottoms Up Z Press,Video Demonstration,,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,Kettlebell,Upper Body,Bilateral,Bodybuilding
Double Kettlebell Sots Press,Video Demonstration,,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,Kettlebell,Upper Body,Bilateral,Bodybuilding
Alternating Double Kettlebell Sots Press,Video Demonstration,,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,Kettlebell,Upper Body,Unilateral,Bodybuilding
Double Kettlebell Seesaw Sots Press,Video Demonstration,,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,Kettlebell,Upper Body,Unilateral,Bodybuilding
Dumbbell Crush Grip Hollow Body Flutter Kicks,Video Demonstration,,Intermediate,Abdominals,Rectus Abdominis,Iliopsoas,Dumbbell,Core,Unilateral,Unsorted*
Double Kettlebell Bottoms Up Seesaw Overhead Press,Video Demonstration,,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,Kettlebell,Upper Body,Unilateral,Unsorted*
Parallette Crow Pose,Video Demonstration,,Intermediate,Abdominals,Rectus Abdominis,,Parallette Bars,Full Body,Bilateral,Calisthenics
Double Kettlebell Bottoms Up Seesaw Z Press,,,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,Kettlebell,Upper Body,Unilateral,Bodybuilding
Suspension Single Leg Standing Bent Knee Reverse Fly,,,Intermediate,Shoulders,Posterior Deltoids,,Suspension Trainer,Upper Body,Unilateral,Balance
Kettlebell Bottoms Up Horn Grip Goblet Bulgarian Split Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,Lower Body,Unilateral,Bodybuilding
Double Kettlebell Snatch to Overhead Squat,,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,Full Body,Bilateral,Ballistics
Suspension Single Leg Standing Bent Knee Y Raise,,,Intermediate,Shoulders,Posterior Deltoids,,Suspension Trainer,Upper Body,Unilateral,Balance
Suspension Single Leg Standing Bent Knee Face Pull,,,Intermediate,Shoulders,Posterior Deltoids,Infraspinatus,Suspension Trainer,Upper Body,Bilateral,Balance
Single Arm Kettlebell Half Kneeling Dead Clean,,,Intermediate,Glutes,Gluteus Maximus,Biceps Femoris,Kettlebell,Full Body,Unilateral,Ballistics
Barbell Overhead March,Video Demonstration,,Intermediate,Hip Flexors,Iliopsoas,Rectus Abdominis,Barbell,Core,Unilateral,Balance
Single Arm Barbell Overhead March,,,Advanced,Hip Flexors,Iliopsoas,Rectus Abdominis,Barbell,Core,Unilateral,Balance
Single Arm Kettlebell Half Kneeling Clean,Video Demonstration,Video Explanation,Intermediate,Glutes,Gluteus Maximus,,Kettlebell,Full Body,Unilateral,Ballistics
Single Arm Kettlebell Half Kneeling Snatch,Video Demonstration,Video Explanation,Intermediate,Glutes,Gluteus Maximus,Anterior Deltoids ,Kettlebell,Full Body,Unilateral,Ballistics
Double Kettlebell Front Rack Alternating Curtsy Lunge,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,Lower Body,Unilateral,Bodybuilding
Slider Lateral Lunge,Video Demonstration,,Beginner,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Sliders,Lower Body,Unilateral,Bodybuilding
Kettlebell Bottoms Up Horn Grip Toe Balance Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,Lower Body,Bilateral,Balance
Double Kettlebell Dead Clean to Overhead Press,Video Demonstration,Video Explanation,Intermediate,Shoulders,Anterior Deltoids,Gluteus Maximus,Kettlebell,Full Body,Bilateral,Ballistics
Double Kettlebell Dead Clean to Thruster,Video Demonstration,,Intermediate,Shoulders,Anterior Deltoids,Quadriceps Femoris,Kettlebell,Full Body,Bilateral,Ballistics
Suspension Single Leg Standing Bent Knee Face Pull to Overhead Press,,,Intermediate,Shoulders,Posterior Deltoids,Infraspinatus,Suspension Trainer,Upper Body,Bilateral,Balance
Suspension Single Leg Standing Bent Knee Cuban Press,,,Intermediate,Shoulders,Posterior Deltoids,Triceps Brachii,Suspension Trainer,Upper Body,Unilateral,Balance
Double Kettlebell Single Leg Standing Bent Knee Overhead Press,,,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,Kettlebell,Upper Body,Unilateral,Balance
Single Arm Kettlebell Dead Snatch,Video Demonstration,,Intermediate,Glutes,Gluteus Maximus,Anterior Deltoids ,Kettlebell,Full Body,Unilateral,Ballistics
Alternating Single Arm Kettlebell Dead Snatch,Video Demonstration,Video Explanation,Intermediate,Glutes,Gluteus Maximus,Anterior Deltoids ,Kettlebell,Full Body,Unilateral,Ballistics
Double Kettlebell Dead Half Snatch,Video Demonstration,,Intermediate,Glutes,Gluteus Maximus,Biceps Femoris,Kettlebell,Full Body,Bilateral,Ballistics
Slider Barbell Overhead Reverse Lunge,,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Sliders,Lower Body,Unilateral,Bodybuilding
Single Arm Kettlebell Single Leg Standing Bent Knee Contralateral Overhead Press,,,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,Kettlebell,Upper Body,Contralateral,Balance
Suspension Single Leg Standing Bent Knee Bicep Curl,,,Intermediate,Biceps,Biceps Brachii,Brachialis,Suspension Trainer,Upper Body,Unilateral,Balance
Double Kettlebell Otis Up,,,Novice,Abdominals,Rectus Abdominis,Iliopsoas,Kettlebell,Core,Bilateral,Unsorted*
Single Arm Kettlebell Otis Up,,,Novice,Abdominals,Rectus Abdominis,Iliopsoas,Kettlebell,Core,Bilateral,Unsorted*
Kettlebell Horn Grip Otis Up,,,Novice,Abdominals,Rectus Abdominis,Iliopsoas,Kettlebell,Core,Bilateral,Unsorted*
Double Kettlebell Bottoms Up Otis Up,,,Intermediate,Abdominals,Rectus Abdominis,Iliopsoas,Kettlebell,Core,Bilateral,Unsorted*
Single Arm Kettlebell Bottoms Up Otis Up,,,Intermediate,Abdominals,Rectus Abdominis,Iliopsoas,Kettlebell,Core,Bilateral,Unsorted*
Double Dumbbell Staggered Stance Romanian Deadlift,Video Demonstration,Video Explanation,Novice,Hamstrings,Biceps Femoris,Gluteus Maximus,Dumbbell,Lower Body,Bilateral,Bodybuilding
Barbell Staggered Stance Romanian Deadlift,Video Demonstration,,Intermediate,Hamstrings,Biceps Femoris,Gluteus Maximus,Barbell,Lower Body,Bilateral,Bodybuilding
Single Arm Kettlebell Bottoms Up Turkish Sit Up,,,Intermediate,Abdominals,Rectus Abdominis,Anterior Deltoids,Kettlebell,Core,Unilateral,Unsorted*
Ring Hanging Knees to Elbows,Video Demonstration,,Advanced,Abdominals,Rectus Abdominis,Iliopsoas,Gymnastic Rings,Core,Bilateral,Calisthenics
Single Arm Plate Teacup,,Video Explanation,Intermediate,Shoulders,Posterior Deltoids,Anterior Deltoids,Weight Plate,Upper Body,Unilateral,Mobility
Double Kettlebell Bottoms Up Turkish Sit Up,,,Intermediate,Abdominals,Rectus Abdominis,Anterior Deltoids,Kettlebell,Core,Bilateral,Unsorted*
Superband Assisted Nordic Hamstring Curl,Video Demonstration,,Intermediate,Hamstrings,Biceps Femoris,Gluteus Maximus,Superband,Lower Body,Bilateral,Unsorted*
Double Kettlebell Bottoms Up Turkish Sit Up to Z Press,,,Intermediate,Abdominals,Rectus Abdominis,,Kettlebell,Full Body,Bilateral,Bodybuilding
Bodyweight Alternating Shin Box Hip Extension,Video Demonstration,,Intermediate,Glutes,Gluteus Maximus,,Bodyweight,Lower Body,Unilateral,Mobility
Single Arm Kettlebell Turkish Sit Up to Z Press,Video Demonstration,,Intermediate,Abdominals,Rectus Abdominis,,Kettlebell,Full Body,Unilateral,Bodybuilding
Single Arm Kettlebell Bottoms Up Turkish Sit Up to Z Press,,,Intermediate,Abdominals,Rectus Abdominis,,Kettlebell,Full Body,Unilateral,Bodybuilding
Ring Chin Up,Video Demonstration,,Intermediate,Biceps,Biceps Brachii,Latissimus Dorsi,Gymnastic Rings,Upper Body,Bilateral,Calisthenics
Single Arm Kettlebell Rotational Thruster,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Anterior Deltoids,Kettlebell,Full Body,Unilateral,Bodybuilding
Double Kettlebell Bottoms Up Front Rack Low Switch Cossack Squat,,,Advanced,Quadriceps,Quadriceps Femoris,Adductor Magnus,Kettlebell,Lower Body,Unilateral,Bodybuilding
Double Kettlebell Bottoms Up Dead Clean,,,Intermediate,Glutes,Gluteus Maximus,Biceps Femoris,Kettlebell,Full Body,Bilateral,Unsorted*
Single Arm Dumbbell Suitcase Carry,Video Demonstration,,Beginner,Forearms,Brachioradialis,,Dumbbell,Full Body,Unilateral,Unsorted*
Double Dumbbell Glute Bridge Isometric Bench Press,Video Demonstration,,Novice,Chest,Pectoralis Major,Triceps Brachii,Dumbbell,Full Body,Bilateral,Bodybuilding
Double Kettlebell Bottoms Up Dead Clean to Overhead Press,,,Intermediate,Shoulders,Anterior Deltoids,Gluteus Maximus,Kettlebell,Full Body,Bilateral,Unsorted*
Double Kettlebell Bottoms Up Dead Clean to Thruster,,,Intermediate,Shoulders,Anterior Deltoids,Quadriceps Femoris,Kettlebell,Full Body,Bilateral,Unsorted*
Bodyweight Foot Elevated Cossack Squat,Video Demonstration,,Beginner,Quadriceps,Quadriceps Femoris,Adductor Magnus,Bodyweight,Lower Body,Unilateral,Bodybuilding
Barbell Overhead Foot Elevated Cossack Squat,,,Advanced,Quadriceps,Quadriceps Femoris,Adductor Magnus,Barbell,Lower Body,Unilateral,Bodybuilding
Landmine Isometric Split Squat Oblique Twist,,,Advanced,Abdominals,Obliques,,Landmine,Core,Unilateral,Balance
Barbell Back Rack Foot Elevated Cossack Squat,,,Advanced,Quadriceps,Quadriceps Femoris,Adductor Magnus,Barbell,Lower Body,Unilateral,Bodybuilding
Barbell Front Rack Foot Elevated Cossack Squat,,,Advanced,Quadriceps,Quadriceps Femoris,Adductor Magnus,Barbell,Lower Body,Unilateral,Bodybuilding
Barbell Feet Elevated Inverted Row,Video Demonstration,,Intermediate,Back,Latissimus Dorsi,Biceps Brachii,Barbell,Upper Body,Bilateral,Calisthenics
Barbell Overhead Low Switch Cossack Squat,,,Advanced,Quadriceps,Quadriceps Femoris,Adductor Magnus,Barbell,Lower Body,Unilateral,Bodybuilding
Double Kettlebell Windmill,Video Demonstration,Video Explanation,Advanced,Abdominals,Obliques,Rectus Abdominis,Kettlebell,Core,Unilateral,Grinds
Double Kettlebell Dragon Flag,Video Demonstration,Video Explanation,Expert,Abdominals,Rectus Abdominis,,Kettlebell,Core,Bilateral,Unsorted*
